recipe_id,uuid,name,local_image,image_url
7713,4420dbd2-80fd-52cd-8064-f6393f97cfd3,Artichoke and Broad Bean Casserole,food_dataset_v2\recipe_images\7713_artichoke_and_broad_bean_casserole.jpg,cloudflare_url/recipe_images/4420dbd2-80fd-52cd-8064-f6393f97cfd3.jpg
7733,8f8f06a4-a5c4-57d8-837e-7c02fe067abc,Artichoke and Potato Casserole,food_dataset_v2\recipe_images\7733_artichoke_and_potato_casserole.jpg,cloudflare_url/recipe_images/8f8f06a4-a5c4-57d8-837e-7c02fe067abc.jpg
7856,75c99bbc-694f-54ec-ac55-395e2b533cf6,Artos,,
8147,1b75f9ec-359b-5b90-906d-eb5e56b48415,Asia Minor Refugee Cuisine Platter,food_dataset_v2\recipe_images\8147_asia_minor_refugee_cuisine_platter.jpg,cloudflare_url/recipe_images/1b75f9ec-359b-5b90-906d-eb5e56b48415.jpg
8220,d69529ad-e699-59b2-b198-e68451bf1f72,Assumption Day Feast,food_dataset_v2\recipe_images\8220_assumption_day_feast.jpg,cloudflare_url/recipe_images/d69529ad-e699-59b2-b198-e68451bf1f72.jpg
7636,0f2dde54-0773-5d1e-913f-54ee0b19f7f5,Astakos Me Makaronia,food_dataset_v2\recipe_images\7636_astakos_me_makaronia.jpg,cloudflare_url/recipe_images/0f2dde54-0773-5d1e-913f-54ee0b19f7f5.jpg
7635,fdb6864f-04ee-59f4-9fa2-72b6b409d6df,Astakos Scharas,,
8158,757d415b-000b-5aa4-91ef-180130025cd5,Astypalea Lamb in Paper,food_dataset_v2\recipe_images\8158_astypalea_lamb_in_paper.jpg,cloudflare_url/recipe_images/757d415b-000b-5aa4-91ef-180130025cd5.jpg
8151,44e6ca27-4101-5986-a67b-152679220341,Athenian Street Food Souvlaki,food_dataset_v2\recipe_images\8151_athenian_street_food_souvlaki.jpg,cloudflare_url/recipe_images/44e6ca27-4101-5986-a67b-152679220341.jpg
7622,2bc9cedf-4a14-5732-a554-69eb888eb16d,Atherina Tiganiti,food_dataset_v2\recipe_images\7622_atherina_tiganiti.jpg,cloudflare_url/recipe_images/2bc9cedf-4a14-5732-a554-69eb888eb16d.jpg
4243,a9a7baa1-d726-5443-a011-245b9e641017,Baccala Alla Vicentina,food_dataset_v2\recipe_images\4243_baccala_alla_vicentina.jpg,cloudflare_url/recipe_images/a9a7baa1-d726-5443-a011-245b9e641017.jpg
3653,8181c31b-a527-543c-b5fb-4a3cba492b9e,Baccala Alla Vicentina,food_dataset_v2\recipe_images\3653_baccala_alla_vicentina.jpg,cloudflare_url/recipe_images/8181c31b-a527-543c-b5fb-4a3cba492b9e.jpg
3649,f97044fc-bbe5-524c-9c2e-fef33d8772b2,Baccalà Mantecato,food_dataset_v2\recipe_images\3649_baccalà_mantecato.jpg,cloudflare_url/recipe_images/f97044fc-bbe5-524c-9c2e-fef33d8772b2.jpg
4024,e2b831ea-0e83-5c9e-a1f1-3d9560ba65e2,Baci Di Dama,food_dataset_v2\recipe_images\4024_baci_di_dama.jpg,cloudflare_url/recipe_images/e2b831ea-0e83-5c9e-a1f1-3d9560ba65e2.jpg
3742,1b884aa4-fdf6-5695-83b1-8a41af8b88c5,Bagna Càuda,food_dataset_v2\recipe_images\3742_bagna_càuda.jpg,cloudflare_url/recipe_images/1b884aa4-fdf6-5695-83b1-8a41af8b88c5.jpg
4145,3a089f49-1f5c-542f-a527-5d91d76cea0e,Bagnet Verd,food_dataset_v2\recipe_images\4145_bagnet_verd.jpg,cloudflare_url/recipe_images/3a089f49-1f5c-542f-a527-5d91d76cea0e.jpg
